data,preco,titulo,Lote,descricao,forma_pagamento,metragem,pagina
28/07/2025 11:00,320.000,sala comercial (desocupado)  - pacaembu - são paulo - sp,,,,,1
30/07/2025 11:00,29.651.662,imóvel comercial - triângulo - pindamonhangaba - sp,,,,,1
30/07/2025 11:30,253.050,imóvel residencial tipo sobrado - convívio do santo - porto feliz - sp,,,,,1
30/07/2025 13:00,217.710,terreno urbano (desocupado)  - santa cruz - itatiba - sp,,,,,1
31/07/2025 11:00,1.461.117,prédio - indianópolis - são paulo - sp,,,,,1
31/07/2025 11:15,482.638,direitos sobre lote de terreno - jd. fazenda rincao - arujá - sp,,,,,1
31/07/2025 15:00,255.000,loja de shopping - centro - niterói - rj,,,,,1
31/07/2025 15:03,289.000,loja de shopping - centro - niterói - rj,,,,,1
31/07/2025 15:06,4.000.000,sala comercial - bela vista - são paulo - sp,,,,,1
31/07/2025 15:09,75.000,vaga de garagem - bela vista - são paulo - sp,,,,,1
31/07/2025 15:12,75.000,vaga de garagem - bela vista - são paulo - sp,,,,,1
31/07/2025 15:15,75.000,vaga de garagem - bela vista - são paulo - sp,,,,,1
31/07/2025 15:18,75.000,vaga de garagem - bela vista - são paulo - sp,,,,,1
31/07/2025 15:21,75.000,vaga de garagem - bela vista - são paulo - sp,,,,,1
31/07/2025 15:24,472.500,apartamento - boa viagem - recife - pe,,,,,1
31/07/2025 15:27,588.000,apartamento - higienópolis - são paulo - sp,,,,,1
31/07/2025 15:30,350.000,apartamento (desocupado)  - jardim guanabara - rio de janeiro - rj,,,,,1
31/07/2025 15:33,115.000,apartamento - jardim dos estados - sorocaba - sp,,,,,1
31/07/2025 15:36,9.650.000,prédio comercial - barra funda - são paulo - sp,,,,,1
05/08/2025 11:00,482.400,sala comercial (desocupado)  - centro - rio de janeiro - rj,,,,,1
05/08/2025 11:02,482.400,sala comercial (desocupado)  - centro - rio de janeiror - rj,,,,,1
05/08/2025 11:04,482.400,sala comercial (desocupado)  - centro - rio de janeiro - rj,,,,,1
05/08/2025 11:06,200.000,sobreloja (desocupado)  - centro - rio de janeiro - rj,,,,,1
05/08/2025 11:08,144.000,sala comercial (desocupado)  - centro - rio de janeiro - rj,,,,,1
05/08/2025 11:10,164.800,sala comercial - centro - rio de janeiro - rj,,,,,1
05/08/2025 11:12,360.000,salas comerciais (desocupado)  - centro - rio de janeiro - rj,,,,,1
06/08/2025 11:00,396.618,apartamento - mirandópolis - são paulo - sp,,,,,1
06/08/2025 11:03,346.914,apartamento - mirandópolis - são paulo - sp,,,,,1
06/08/2025 11:06,450.379,apartamento - mirandópolis - são paulo - sp,,,,,1
06/08/2025 11:09,460.523,apartamento - mirandópolis - são paulo - sp,,,,,1
07/08/2025 13:00,1.580.000,casa tipo sobrado - morumbi - são paulo - sp,,,,,1
08/08/2025 13:00,780.426,2 terrenos (desocupado)  - rondon do pará - pará - pa,,,,,1
11/08/2025 11:00,825.000,apartamento (desocupado)  - praia das pitangueiras - guarujá - sp,,,,,1
12/08/2025 15:00,300.000.000,complexo industrial (desocupado)  - distrito industrial - candeias - ba,,,,,1
13/08/2025 11:00,278.633,apartamento - bela vista - são paulo - sp,,,,,1
13/08/2025 11:30,1.437.477,apartamento - vila assunção - santo andré - sp,,,,,1
14/08/2025 11:00,19.500.000,terreno urbano com benfeitorias (desocupado)  - bairro da aparecida - sorocaba - sp,,,,,1
14/08/2025 11:00,377.627,apartamento - mirandópolis - são paulo - sp,,,,,1
15/08/2025 11:00,4.800.000,terreno (desocupado)  - vila são silvestre - barueri - sp,,,,,1
20/08/2025 11:00,1.800.000,casa (desocupado)  - granja viana - cotia - sp,,,,,1
20/08/2025 11:00,2.195.903,apartamento duplex - jabaquara - são paulo - sp,,,,,1
20/08/2025 11:15,478.413,apartamento - centro - amparo - sp,,,,,1
20/08/2025 11:18,18.697,vaga de garagem - centro - amparo - sp,,,,,1
21/08/2025 11:00,370.000,sala comercial (desocupado)  - república - são paulo - sp,,,,,1
21/08/2025 11:02,395.000,sala comercial (desocupado)  - república - são paulo - sp,,,,,1
25/08/2025 11:00,300.000,terreno (desocupado)  - limoeiro - são paulo - sp,,,,,1
26/08/2025 11:00,1.197.000,apartamento - buritis - belo horizonte - mg,,,,,1
26/08/2025 11:02,434.700,casa (desocupado)  - jardim olinda - são paulo - sp,,,,,1
